trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.6799999999999999}",20,0,-163.74253409746177,"{0: 9, 1: 3, 2: 4, 3: 2, 4: 2}",0
2,False,"{'a': 0.7, 'e': 0.6599999999999999}",25,0,-25.288489096694185,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
3,False,"{'a': 0.7, 'e': 0.6399999999999999}",30,0,-87.12028756835636,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.7, 'e': 0.6199999999999999}",35,0,-61.46822112612844,"{0: 30, 1: 1, 2: 1, 3: 2, 4: 1}",0
5,False,"{'a': 0.7, 'e': 0.5999999999999999}",20,0,-69.27640997338207,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.7, 'e': 0.5799999999999998}",30,9,-120.13137532692387,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 2}",1
7,False,"{'a': 0.7, 'e': 0.5599999999999998}",20,13,6.147272989277344,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.7, 'e': 0.5399999999999998}",30,11,-1.6772836837470484,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 0}",1
9,False,"{'a': 0.7, 'e': 0.5199999999999998}",25,7,-15.023131892651044,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
10,False,"{'a': 0.7, 'e': 0.4999999999999998}",25,0,-105.99111910265025,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
11,False,"{'a': 0.7, 'e': 0.47999999999999976}",20,0,-46.20570468349228,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
12,False,"{'a': 0.7, 'e': 0.45999999999999974}",20,0,-48.43615746069977,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",1
13,False,"{'a': 0.7, 'e': 0.4399999999999997}",25,5,-13.684503672907926,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
14,False,"{'a': 0.7, 'e': 0.4199999999999997}",20,14,-42.49585412060566,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 1}",1
15,False,"{'a': 0.7, 'e': 0.3999999999999997}",30,21,14.42278879426676,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.7, 'e': 0.37999999999999967}",25,0,-36.08364982087694,"{0: 20, 1: 2, 2: 1, 3: 2, 4: 0}",0
17,False,"{'a': 0.7, 'e': 0.35999999999999965}",30,5,-33.34304452937493,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",1
18,False,"{'a': 0.7, 'e': 0.33999999999999964}",25,0,-5.781695359811765,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
19,False,"{'a': 0.7, 'e': 0.3199999999999996}",30,8,-20.34646376568495,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 0}",1
20,False,"{'a': 0.7, 'e': 0.2999999999999996}",35,22,12.198738080824283,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
21,False,"{'a': 0.7, 'e': 0.2799999999999996}",20,10,-17.306018413258204,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
22,False,"{'a': 0.7, 'e': 0.25999999999999956}",20,11,2.4391588274121556,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
23,False,"{'a': 0.7, 'e': 0.23999999999999957}",30,2,1.3499332088481355,"{0: 24, 1: 0, 2: 4, 3: 0, 4: 0}",1
24,False,"{'a': 0.7, 'e': 0.21999999999999958}",25,7,17.845362415082338,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
25,False,"{'a': 0.7, 'e': 0.1999999999999996}",25,2,36.65639263328833,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.7, 'e': 0.1799999999999996}",25,9,20.985903730330428,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
27,False,"{'a': 0.7, 'e': 0.15999999999999961}",25,5,6.896161992323289,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",1
28,False,"{'a': 0.7, 'e': 0.13999999999999962}",20,15,10.06526104794662,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.7, 'e': 0.11999999999999962}",30,19,19.67978519484297,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.7, 'e': 0.09999999999999962}",25,2,36.93773452562984,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.7, 'e': 0.07999999999999961}",20,12,14.76395707685044,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.7, 'e': 0.05999999999999961}",20,7,-21.947441605465066,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
33,False,"{'a': 0.7, 'e': 0.039999999999999605}",25,20,9.82719390493564,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,19,17.23360060116909,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,9,17.645883910917657,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,13,22.469425408476937,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,3,26.537371177127817,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,20,9.970965926991418,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,16,9.597382660995002,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,12,13.32122471620912,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,19,20.371329334550413,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,10,27.80764414697522,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,10,18.411786139313943,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",20,11,13.061493577375156,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",30,16,28.42120022595295,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",25,17,15.29248115566196,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",20,12,12.9530964452168,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",25,3,35.847565980523264,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",30,22,18.284278575710196,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",20,3,27.59231787867811,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",25,18,11.803606617168292,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",25,17,14.658270618596458,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",30,19,21.523985648822563,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
