trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.98}",20,0,-125.3604960584021,"{0: 10, 1: 0, 2: 8, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.96}",20,0,-71.20947333990384,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.94}",25,0,-150.34036229727917,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9199999999999999}",20,0,-119.99315012013383,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-67.57084590712627,"{0: 13, 1: 5, 2: 0, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.8799999999999999}",25,0,-190.18119484492007,"{0: 14, 1: 0, 2: 7, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.8599999999999999}",20,11,6.099192686985272,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.8399999999999999}",25,0,-135.8329936830566,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.8199999999999998}",20,10,-16.233607799275,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-137.6680645531522,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.7799999999999998}",20,0,-211.53581279930273,"{0: 8, 1: 2, 2: 5, 3: 2, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.7599999999999998}",20,0,-64.87961511908019,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.7399999999999998}",25,0,-187.1143430228492,"{0: 9, 1: 3, 2: 10, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.7199999999999998}",20,0,-95.12849956427523,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-112.79017666144193,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.6799999999999997}",20,0,-103.98571251515091,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.6599999999999997}",20,0,-212.5713353405826,"{0: 10, 1: 0, 2: 5, 3: 1, 4: 4}",0
18,False,"{'a': 0.5, 'e': 0.6399999999999997}",25,0,-127.5510728270992,"{0: 15, 1: 3, 2: 3, 3: 3, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.6199999999999997}",20,2,-60.71963499704723,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-190.91285404193462,"{0: 10, 1: 1, 2: 4, 3: 2, 4: 3}",0
1,True,"{'a': 0, 'e': 0}",20,0,-40.356681031011455,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,-195.27549897596575,"{0: 10, 1: 1, 2: 4, 3: 2, 4: 3}",0
3,True,"{'a': 0, 'e': 0}",20,7,-104.25130241190008,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 2}",1
4,True,"{'a': 0, 'e': 0}",20,0,-101.64715168779053,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",20,0,-125.72108806029624,"{0: 10, 1: 4, 2: 2, 3: 3, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",25,0,-116.10901309539777,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",25,0,-152.80180200873102,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",25,0,-155.44575136474668,"{0: 14, 1: 4, 2: 3, 3: 2, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",25,0,-31.426443514239548,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",30,0,-106.8395933378089,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
